min,µS/cm
0.0,-995.2737535328016
0.0016666666666667052,-995.2738280386077
0.0033333333333334103,-995.2731714561922
0.004999999999999893,-995.2711970523332
0.006666666666666599,-995.2676114604192
0.008333333333333304,-995.2627359867388
0.010000000000000009,-995.2575624898344
0.011666666666666714,-995.2534646705042
0.01333333333333342,-995.2517324105146
0.014999999999999902,-995.2532039001832
0.016666666666666607,-995.2580095246705
0.018333333333333313,-995.2655718639799
0.020000000000000018,-995.2747640177955
0.021666666666666723,-995.2842541948353
0.023333333333333428,-995.2928177059129
0.02499999999999991,-995.299607047485
0.026666666666666616,-995.3042776301988
0.028350000000000097,-995.3069132730863
0.03001666666666658,-995.3079051316287
0.031683333333333286,-995.3077328369523
0.03334999999999999,-995.3068713635704
0.035016666666666696,-995.30565598761
0.0366833333333334,-995.304310226489
0.038350000000000106,-995.3029272124651
0.04001666666666659,-995.3014883190866
0.041683333333333294,-995.299607047485
0.04335,-995.2950342536415
0.045016666666666705,-995.2783589229352
0.04668333333333341,-995.2187449649064
0.048350000000000115,-995.0336771994055
0.0500166666666666,-994.5366024014245
0.0516833333333333,-993.3631359568625
0.05335000000000001,-990.888420953829
0.055016666666666714,-986.1624897393224
0.05668333333333342,-977.9015513965402
0.05836666666666668,-964.5724720156624
0.06003333333333338,-944.5927063676495
0.06170000000000009,-916.6370336509482
0.06336666666666657,-880.0057651847628
0.06503333333333328,-834.976691210166
0.06669999999999998,-783.0496042887911
0.06836666666666669,-727.002416144592
0.07003333333333339,-670.7131819197504
0.0717000000000001,-618.7529771676068
0.07336666666666658,-575.8078492133915
0.07503333333333329,-546.0290659899027
0.07669999999999999,-532.4297493940358
0.0783666666666667,-536.4384458104328
0.0800333333333334,-557.689457460162
0.0817000000000001,-594.083648451643
0.08336666666666659,-642.1024215603725
0.0850333333333333,-697.3126440762136
0.08671666666666678,-754.9703171267035
0.08838333333333326,-810.6204498608691
0.09004999999999996,-860.6004672407175
0.09171666666666667,-902.379514138391
0.09338333333333337,-934.700658980152
0.09505000000000008,-957.5283624965364
0.09671666666666656,-971.8361594583076
