min,µS/cm
0.0,-998.2412126838421
0.0016666666666667052,-998.2414082615829
0.003349999999999964,-998.2411568044877
0.005016666666666669,-998.239987994656
0.006683333333333374,-998.2374315141875
0.00835000000000008,-998.2333243816315
0.010016666666666563,-998.2280344694052
0.011683333333333268,-998.2224558471806
0.013349999999999973,-998.2177573247895
0.015016666666666678,-998.2150332062575
0.016683333333333383,-998.2150238930318
0.01835000000000009,-998.2179249628531
0.02001666666666657,-998.2233825131428
0.021683333333333277,-998.2305723234222
0.023349999999999982,-998.2384094028913
0.025016666666666687,-998.245771507847
0.026683333333333392,-998.2516760929728
0.028350000000000097,-998.2554619192404
0.03001666666666658,-998.2568402766515
0.031683333333333286,-998.2559136106893
0.03336666666666677,-998.2531382694157
0.03503333333333325,-998.2491941183104
0.036699999999999955,-998.2448820947878
0.03836666666666666,-998.2409798531984
0.040033333333333365,-998.2381160362801
0.04170000000000007,-998.2366911127402
0.043366666666666775,-998.2368354677394
0.04503333333333326,-998.2384140595042
0.046699999999999964,-998.241068328843
0.04836666666666667,-998.2443046747914
0.050033333333333374,-998.2475596471911
0.05170000000000008,-998.2503210186261
0.05336666666666656,-998.2521790071634
0.05503333333333327,-998.2528868123204
0.05669999999999997,-998.2523932113556
0.05836666666666668,-998.2508332460424
0.06004999999999994,-998.2484816565404
0.06170000000000009,-998.2457109718796
0.06338333333333335,-998.2429263173802
0.06505000000000005,-998.2404676257821
0.06671666666666676,-998.2385910107934
0.06838333333333324,-998.2373802914458
0.07004999999999995,-998.2367097391918
0.07171666666666665,-998.2360252170992
0.07338333333333336,-998.2337341635645
0.07505000000000006,-998.225650283613
0.07671666666666677,-998.2017292632729
0.07838333333333325,-998.1400710521918
0.08004999999999995,-997.9971502898247
0.08171666666666666,-997.6936089795519
0.08338333333333336,-997.0958814942725
0.08505000000000007,-995.9952211920149
0.08671666666666678,-994.08750934251
0.08838333333333326,-990.9585402305045
0.09006666666666674,-986.0805799188468
0.09171666666666667,-978.8251719338937
0.09339999999999993,-968.4964925835359
0.09506666666666663,-954.3869788546054
0.09673333333333334,-935.8532824254843
0.09840000000000004,-912.404987454603
0.10006666666666675,-883.7949674966721
0.10173333333333323,-850.0980636338229
0.10339999999999994,-811.7668381015616
0.10506666666666664,-769.6555698149165
0.10673333333333335,-725.0068153836796
0.10840000000000005,-679.3979325701473
0.11006666666666676,-634.6491773774145
0.11173333333333324,-592.69936317238
0.11339999999999995,-555.4603601598462
0.11506666666666665,-524.6654295011729
0.11673333333333336,-501.72870070754027
0.11840000000000006,-487.6321835851447
0.12008333333333332,-482.85344172401983
0.12175000000000002,-487.3414153639886
0.12341666666666673,-500.5414087793517
0.12508333333333344,-521.4640686854087
0.12674999999999992,-548.788253473485
0.12841666666666662,-580.9844427653516
0.13008333333333333,-616.4442890400273
0.13175000000000003,-653.6022437054675
0.13341666666666674,-691.0375415771443
0.13508333333333322,-727.548422630666
0.13674999999999993,-762.1948843645839
0.13841666666666663,-794.3108355599971
0.14008333333333334,-823.4900565927336
0.14175000000000004,-849.5528767116149
0.14341666666666675,-872.5012377242098
0.14508333333333345,-892.4696971161616
0.14674999999999994,-909.6784707669534
0.14841666666666664,-924.3930088935388
0.15010000000000012,-936.8926570456906
0.15175000000000005,-947.4488119350042
0.1534333333333333,-956.3113054988493
0.15510000000000002,-963.7021696957304
0.15676666666666672,-969.8152500064183
0.15843333333333343,-974.8208527335994
0.1600999999999999,-978.8726135058666
0.16176666666666661,-982.1137604220369
0.16343333333333332,-984.6803457404861
0.16510000000000002,-986.7010968675377
0.16676666666666673,-988.2946875823171
0.16843333333333343,-989.5659615237107
0.17009999999999992,-990.6024164476443
0.17176666666666662,-991.4721087512896
0.17343333333333333,-992.2235184312908
0.17510000000000003,-992.8873837892373
0.17676666666666674,-993.4800867892243
0.17843333333333344,-994.0079464549236
0.1801166666666667,-994.4716286819762
0.1817833333333334,-994.870057792808
0.1834500000000001,-995.2032850101606
0.1851166666666666,-995.4742207170809
0.1867833333333333,-995.6890814917576
0.18845,-995.8569477292974
0.1901166666666667,-995.9885994885063
0.19178333333333342,-996.095105538189
0.1934499999999999,-996.1864729394142
0.1951166666666666,-996.270613277457
0.1967833333333333,-996.3527838682536
0.19845000000000002,-996.4355272224338
0.20011666666666672,-996.5190342611256
0.20178333333333343,-996.6018241814346
0.20345000000000013,-996.6815453938589
0.2051166666666666,-996.7557298935743
0.2068000000000001,-996.8223893068836
0.20845000000000002,-996.880410703309
0.21013333333333328,-996.9296590410777
0.2118,-996.9708980047009
0.2134666666666667,-997.0055525177185
0.2151333333333334,-997.0354107194745
0.2168000000000001,-997.0623166286676
0.2184666666666666,-997.0878767767399
0.2201333333333333,-997.1133065396516
0.2218,-997.1392997527213
0.2234666666666667,-997.1660426804638
0.2251333333333334,-997.193321118687
0.2267999999999999,-997.2206228399746
0.2284666666666666,-997.2473052317497
0.2301333333333333,-997.2727675909515
0.2318,-997.2965256298411
0.2334666666666667,-997.3183325479358
0.23513333333333342,-997.3381557489457
0.23681666666666668,-997.3561908106116
0.2384666666666666,-997.3727730090603
0.24015000000000009,-997.3883121262251
0.2418166666666668,-997.4032505403288
0.24348333333333327,-997.4179747502403
0.24514999999999998,-997.4327967490223
0.24681666666666668,-997.4479214276411
0.2484833333333334,-997.4634093220641
0.2501500000000001,-997.4791952397112
0.2518166666666666,-997.4950836028415
0.25350000000000006,-997.5108276109727
0.25516666666666676,-997.5261385541065
0.25683333333333325,-997.5407696317606
0.25849999999999995,-997.5545345794197
0.26016666666666666,-997.5673728611168
0.26183333333333336,-997.5793217297547
0.26350000000000007,-997.5905255403326
0.26516666666666655,-997.6011659007524
0.2668333333333335,-997.6114383887552
0.26849999999999996,-997.6215152990173
0.27016666666666667,-997.6315270166991
0.27183333333333337,-997.6415620174453
0.2735000000000001,-997.6516622107716
0.2751666666666668,-997.6618275966783
0.27683333333333326,-997.6720348921009
0.27849999999999997,-997.6822049346204
0.2801666666666667,-997.6922492485922
0.2818333333333334,-997.7020514186947
0.2835000000000001,-997.7115136560572
0.28516666666666657,-997.7205614548737
0.2868333333333333,-997.7291529056287
0.2885,-997.7372880083217
0.2901666666666667,-997.7450179856946
0.2918333333333334,-997.752394060489
0.2935000000000001,-997.7594814252851
0.2951666666666668,-997.7663313028246
0.29685000000000006,-997.7729856026233
0.2985,-997.7794582945199
0.30018333333333347,-997.7857819748045
0.30184999999999995,-997.7920032096058
0.30351666666666666,-997.7981871915041
0.30518333333333336,-997.8043991130797
0.30685000000000007,-997.8106808838485
0.3085166666666668,-997.8170325038103
0.31018333333333326,-997.8234120634494
0.31184999999999996,-997.8297171172825
0.31351666666666667,-997.8358265933748
0.31518333333333337,-997.8416194197915
0.3168500000000001,-997.847011777501
0.31851666666666656,-997.8519477871489
0.3201833333333335,-997.8564460751863
0.32184999999999997,-997.8605718341938
0.3235166666666667,-997.8644321662674
0.3251833333333334,-997.8681388301161
0.32686666666666664,-997.8718222109004
0.32853333333333334,-997.8755800974907
0.33020000000000005,-997.8794916523059
0.33186666666666675,-997.883594128249
0.33353333333333346,-997.8878828687072
0.33519999999999994,-997.8922973377129
0.33686666666666665,-997.8967676860731
0.33853333333333335,-997.9011821550788
0.34020000000000006,-997.9054522690855
0.34186666666666676,-997.9094942090611
0.34353333333333325,-997.9132753787159
0.34519999999999995,-997.916777151598
0.34686666666666666,-997.9200321239978
0.34853333333333336,-997.9230775488182
0.3502166666666666,-997.9259506789623
0.3518833333333333,-997.9286887673329
0.35355000000000003,-997.931301127156
0.35521666666666674,-997.9338063848828
0.3568833333333332,-997.9362231669651
0.35855000000000015,-997.938616665983
0.36021666666666663,-997.9410707009682
0.36188333333333333,-997.9436644343397
0.36355000000000004,-997.9464490888391
0.36521666666666674,-997.9494153512406
0.36688333333333345,-997.9524933723511
0.36854999999999993,-997.9555574236231
0.37021666666666664,-997.958472463283
0.37188333333333334,-997.961122076009
0.37355000000000005,-997.9634317559951
0.37521666666666675,-997.9653828767898
0.37688333333333324,-997.9670126912962
0.37854999999999994,-997.9684050185459
0.38021666666666665,-997.9696623040222
0.38188333333333335,-997.9708916498213
0.38355000000000006,-997.9721955014263
0.38521666666666676,-997.9736576778691
0.3869,-997.97534337173
0.3885666666666667,-997.977285179299
0.39023333333333343,-997.9794644741246
0.39190000000000014,-997.9818300334653
0.3935666666666666,-997.9842794118376
0.3952333333333333,-997.9867055071456
0.39690000000000003,-997.9889919040673
0.39856666666666674,-997.9910501269582
0.40023333333333344,-997.9928382663023
0.4018999999999999,-997.9943376956481
0.40356666666666663,-997.9955903245116
0.40523333333333333,-997.99665668886
0.40690000000000004,-997.9976159511123
0.40856666666666674,-997.9985472736873
0.4102333333333332,-997.9995018793268
0.41190000000000015,-998.0005030510949
0.4135833333333334,-998.0015647588305
0.4152499999999999,-998.0026823459206
0.4169166666666668,-998.0038697822038
0.4185833333333333,-998.0051317242929
0.42025,-998.0064542023495
0.4219166666666667,-998.0078279031477
0.4235833333333334,-998.0092062605588
0.42525000000000013,-998.0105520216797
0.4269166666666666,-998.011809307156
0.4285833333333333,-998.0129408640847
0.43025,-998.013900126337
0.4319166666666667,-998.0146591542357
0.43358333333333343,-998.0152039779421
0.4352499999999999,-998.0155392540692
0.4369166666666666,-998.0156882656811
0.4385833333333333,-998.0156975789068
0.44025000000000003,-998.0156370429395
0.44191666666666674,-998.0156230731009
0.4436,-998.0157813979387
0.44525000000000015,-998.0162517158391
0.4469333333333334,-998.0171411288982
0.4485999999999999,-998.0184775767934
0.4502666666666668,-998.0201912103315
0.4519333333333333,-998.0221423311262
0.4536,-998.0241446746626
0.4552666666666667,-998.0260026631998
0.4569333333333334,-998.027562628513
0.4586000000000001,-998.0287547214091
0.4602666666666666,-998.0295696286622
0.4619333333333333,-998.0300725428527
0.4636,-998.0303845359153
0.4652666666666667,-998.0306313363977
0.4669333333333334,-998.0309060765575
0.4685999999999999,-998.0312832622003
0.4702666666666666,-998.0317954896166
0.4719333333333333,-998.0324660418706
0.4736166666666666,-998.0333042321881
0.4752833333333333,-998.034319373795
0.47695,-998.0355207799167
0.4786166666666667,-998.0368758542635
0.4802833333333334,-998.0383333740934
0.4819500000000001,-998.0398095203749
0.4836166666666668,-998.0412158174632
0.4852833333333333,-998.0424498198752
0.48695,-998.0434556482562
0.4886166666666667,-998.0442007063162
0.4902833333333334,-998.0446849940553
0.4919500000000001,-998.044955077602
0.4936166666666666,-998.0450668363111
0.4952833333333333,-998.045071492924
0.49695,-998.0450388966337
0.4986166666666667,-998.0450668363111
0.5002833333333334,-998.0452577574389
0.5019499999999999,-998.0457280753393
0.5036333333333334,-998.0465709222698
0.5053000000000001,-998.0478188945203
0.5069666666666666,-998.0494254259622
0.5086333333333335,-998.0512741012737
0.5103,-998.0531833125526
0.5119666666666667,-998.0549761085095
0.5136333333333334,-998.0564801944682
0.5152999999999999,-998.0575931249455
0.5169666666666668,-998.0582916168768
0.5186333333333333,-998.0586315496166
0.5203,-998.0587339950999
0.5219666666666667,-998.0587526215514
0.5236333333333334,-998.0588317839703
0.5253000000000001,-998.0590972109042
0.5269666666666666,-998.059623408159
0.5286333333333335,-998.0604383154123
0.5303,-998.061527962825
0.5319666666666667,-998.0628457842687
0.5336500000000002,-998.0643172739373
0.5353166666666667,-998.065858612799
0.5369833333333334,-998.0673673553706
0.5386500000000001,-998.0687643392332
0.5403166666666666,-998.0699843718065
0.5419833333333335,-998.0709902001876
0.54365,-998.0717818243763
0.5453166666666667,-998.0723732142114
0.5469833333333334,-998.0727969659831
0.5486499999999999,-998.0730949892071
0.5503166666666668,-998.0732952235608
0.5519833333333333,-998.0734302653342
0.55365,-998.0735233975917
0.5553166666666667,-998.0736351563007
0.5569833333333334,-998.0738493604929
0.5586500000000001,-998.0742684556517
0.5603333333333333,-998.0749948872602
0.562,-998.0760845346731
0.5636666666666668,-998.0775187714387
0.5653333333333332,-998.0792091219123
0.5670000000000002,-998.081015887708
0.5686666666666667,-998.0827574609233
0.5703333333333334,-998.0842522336562
0.5720000000000001,-998.0853511942948
0.5736666666666665,-998.0859844936458
0.5753333333333335,-998.0861521317094
0.577,-998.0859518973557
0.5786666666666667,-998.0855467720355
0.5803333333333334,-998.0851276768768
0.5820000000000001,-998.084894846233
0.5836666666666668,-998.0849972917163
0.5853333333333333,-998.0855188323583
0.5870000000000002,-998.0864874078363
0.5886666666666667,-998.0878285123445
0.5903333333333334,-998.0894210739477
0.5920000000000001,-998.0910834847442
0.5936833333333333,-998.0926574198961
0.59535,-998.094003181017
0.5970166666666668,-998.0950322924624
0.5986833333333332,-998.0957261277808
0.6003500000000002,-998.0961126266495
0.6020166666666666,-998.096280264713
0.6036833333333333,-998.0963361440675
0.60535,-998.096392023422
0.6070166666666665,-998.0965317218082
0.6086833333333335,-998.096801805355
0.61035,-998.0972069306752
0.6120166666666667,-998.0977284713172
0.6136833333333334,-998.0983431442168
0.6153500000000001,-998.0990369795352
0.6170166666666668,-998.0998053206596
0.6186833333333333,-998.1006528242028
0.6203500000000002,-998.1015655203264
0.6220166666666667,-998.1025294391916
0.6236999999999999,-998.1034980146696
0.6253666666666668,-998.1044293372447
0.6270333333333333,-998.1052582143365
