flussrate (mL/min),retentionszeit_mit_säule (min),retentionszeit_ohne_säule (min),peakbreite_mit_säule (min),peakbreite_ohne_säule (min)
2.0,0.6006449955288606,0.198077953756783,0.058732961507252046,0.04960093915879353
1.9,0.6255066030142888,0.21053858293494618,0.07328605173656876,0.05106452903834114
1.7999999999999998,0.6759015776862529,0.22191285960467652,0.07323270443614369,0.05495751094126849
1.6999999999999997,0.7006313040409534,0.2538682307314791,0.07040185219769436,0.06267465185466592
1.5999999999999996,0.7355178565576053,0.2767259912407109,0.07333337217708877,0.05528104303331289
1.4999999999999996,0.7855838105862326,0.2856901963497177,0.07917534141943673,0.057794722352025096
1.3999999999999995,0.8508046472293335,0.3108356743302962,0.08789561358538411,0.06459762876485733
1.2999999999999994,0.9005431736220687,0.3282438700265485,0.08794164301206372,0.07194082404684063
1.1999999999999993,0.9653153057542256,0.354101117583053,0.09670552467505698,0.07632183704371963
1.0999999999999992,1.0631526724604516,0.3857730531340926,0.0952817729484714,0.08511333932498388
0.9999999999999991,1.1536581982842133,0.40622173436460135,0.10353637783656841,0.08471967705837655
0.899999999999999,1.293141304493127,0.4642103638125329,0.1147545904360067,0.09584811070774144
0.7999999999999989,1.4454115504434437,0.5174695911583709,0.12985506749929013,0.10369710558857248
0.6999999999999988,1.6427498497052682,0.5892934958333429,0.14394661393755215,0.11447424654109693
0.5999999999999988,1.95722385193836,0.683589597402753,0.15084451226500353,0.12764388696516604
0.49999999999999867,2.3630206578277266,0.8264589204305919,0.16452123336507998,0.14958992200448187
0.3999999999999986,2.932695525100843,1.0206970967246838,0.19966843393201225,0.17270299382525936
0.2999999999999985,3.9362751717062943,1.3597092467731131,0.249008364891215,0.2156855211411975
0.1999999999999984,5.877282752617938,2.021289097295959,0.3356366402744371,0.30588789040005093
0.09999999999999831,11.887312301363666,4.026153873613727,0.6530626438099832,0.5140330218393666
