"","Estimate","Std. Error","t value","Pr(>|t|)"
"A",0.837722541682844,0.14474561409661,5.78755043398904,0.000672038271921878
"B",2.06810131052186,0.0535308412460159,38.6338279463481,2.02618379069096e-09
"C",0.325818163194686,0.0444246274180056,7.3341788582481,0.00015805685234213
